,Name,Rating TA,Rating Glovo,Cuisine Style TA,Cuisine Style Glovo,Number of Reviews TA,Number of Reviews Glovo
774,Honkaku II,70%,100%,"['Japanese', 'Sushi']",['Japanese'],31,13
775,Tiflis Restaurant,80%,89%,['Georgian'],['International'],16,64
776,"Good Shit, Vegan Kebabs",100%,98%,['Street Food'],"['Arabic', 'Sandwich']",4,500+
777,Baozi Bar,80%,94%,[],['Japanese'],10,74
778,La Turka Kebab,100%,97%,"['Pizza', 'Fast Food']","['Arabic', 'Pizza']",4,265
779,Yiduo 2,70%,97%,"['Japanese', 'Sushi']",['Japanese'],18,13
780,Restaurante Green's,70%,93%,"['Mediterranean', 'Spanish']","['International', 'Mediterranean']",70,16
781,Maruko,80%,97%,['Sushi'],['Japanese'],9,421
782,La Piadina,70%,90%,"['Italian', 'Healthy']","['Italian', 'Vegan']",63,383
783,Pizzeria La Mia Mamma,80%,90%,"['Italian', 'Pizza']",['Pizza'],16,33
784,Little Viet,100%,92%,[],"['Asian', 'Vegan']",3,48
785,Hungry Eyes,100%,95%,"['Indian', 'International']",['Indian'],3,185
786,Xe Wu,70%,97%,"['Japanese', 'Asian']",['Asian'],20,55
787,Mezcal Taco Bar,80%,98%,"['Mexican', 'Deli']",['Mexican'],7,45
788,Ferribottu,90%,97%,[],['Pizza'],3,57
789,Indian Curry House,90%,94%,['Indian'],['Indian'],9,352
790,La Bendecida,80%,96%,"['Venezuelan', 'South American']","['Latin American', 'Venezolana']",6,453
791,Estambul Kebab,100%,92%,[],['Arabic'],3,177
792,Bona Sort Sushi,70%,98%,"['Japanese', 'Sushi']","['Japanese', 'Poke']",49,292
794,Sushi Time,70%,84%,"['Healthy', 'Japanese']","['Japanese', 'Sushi']",27,85
796,Asian Ways Gracia,90%,94%,"['Chinese', 'Asian']",['Asian'],3,219
797,Kurz & Gut,60%,91%,['$'],['Mediterranean'],194,62
800,Quetzal,70%,93%,"['Mexican', 'Latin']",['Mexican'],64,60
801,Pizza Torre,80%,84%,"['Italian', 'Pizza']",['Pizza'],11,70
802,Un Chingo de Sabor,80%,97%,['$'],['Mexican'],6,494
803,LA BRASA ROJA,70%,94%,"['Peruvian', 'South American']",['Chicken'],62,150
804,Japonmarket,100%,96%,"['Japanese', 'Fast Food']","['Healthy', 'Japanese']",3,160
805,Gaijin Sushi,100%,--,"['Japanese', 'Sushi']","['Asian', 'Japanese']",2,11
806,MadameRamen,90%,97%,['Asian'],['Japanese'],3,35
807,Tamae,100%,95%,['Japanese'],"['Asian', 'Japanese']",2,362
808,Suma Manq'a,70%,93%,"['Latin', 'Spanish']",['Latin American'],22,135
809,Bismillah Burguer,100%,85%,['Fast Food'],"['Arabic', 'Burgers']",2,23
810,Dera Restaurante,100%,97%,"['Indian', 'Middle Eastern']",['Indian'],2,39
811,McDonald's,70%,90%,['Fast Food'],"['American', 'Burgers']",42,500+
818,Jef Coffee & Pizza,80%,92%,"['Italian', 'Pizza']",['Pizza'],18,73
819,Vintena,100%,100%,[],"['Gourmet', 'Mediterranean']",2,13
820,SushiTienda,100%,95%,['Japanese'],"['Japanese', 'Sushi']",2,68
821,Tu Cachapa Com,100%,91%,[],"['Bakery', 'Latin American']",2,317
822,Tasty Poke Bar,100%,89%,['Hawaiian'],"['Healthy', 'Poke']",2,63
823,deWeggie's,100%,95%,"['Italian', 'American']","['Burgers', 'Pizza']",3,10
824,Bar Restaurante La Familia,100%,86%,"['American', 'Latin']",['Mediterranean'],2,75
825,Restaurante Green's Aribau,70%,89%,"['Mediterranean', 'Spanish']",['Mediterranean'],25,67
826,Sapor d'Italia,70%,90%,"['Italian', 'Pizza']","['Italian', 'Pizza']",70,154
827,Milanesa Barcelona,100%,97%,"['Italian', 'Mediterranean']",['International'],3,175
828,Rock & Boom,90%,New,['American'],"['Breakfast', 'Burgers']",2,27
829,Pizzamarket,90%,96%,"['Pizza', 'Fast Food']",['Pizza'],3,181
832,Picarn,70%,86%,"['Fast Food', 'Turkish']","['American', 'Arabic']",20,39
833,Empanada Club - Badal,80%,94%,"['Argentinean', 'South American']","['Latin American', 'Pizza']",4,93
834,La Barbacoa de Gracia,70%,89%,"['Steakhouse', 'Spanish']",['Mediterranean'],94,26
835,Mian,90%,98%,"['Chinese', 'Asian']",['Asian'],2,154
836,Ruixian sushi,70%,98%,"['Japanese', 'Sushi']","['Healthy', 'Japanese']",104,99
838,Taj Mahal,70%,92%,"['Indian', 'Middle Eastern']","['Arabic', 'Indian']",10,165
840,Mr. Sushi,100%,97%,[],"['Asian', 'Japanese']",1,97
841,Sumo Glories,70%,86%,[],"['Japanese', 'Poke']",6,105
842,Burritos,100%,92%,"['Mexican', 'American']",['Mexican'],1,341
844,Sushi Ouchi,100%,85%,[],"['Asian', 'Sushi']",1,18
845,Burger King,100%,96%,[],"['American', 'Burgers']",1,500+
863,Gyoza Restaurante,100%,97%,[],['Asian'],1,216
864,Natsu Sushi,70%,88%,"['Japanese', 'Sushi']","['Japanese', 'Sushi']",26,228
865,Albiceleste Bar,100%,74%,[],['Latin American'],1,50
866,Bar Paco,100%,93%,['Mediterranean'],"['Mediterranean', 'Pizza']",1,31
867,Hai Tian,70%,94%,['Chinese'],['Asian'],3,352
868,Habib's Village,70%,84%,[],"['Arabic', 'Indian']",3,11
869,Pizza Virona,70%,82%,[],"['Italian', 'Pizza']",5,124
871,Palacio De China,60%,94%,"['Chinese', 'Asian']",['Asian'],24,54
872,Not Only Wine,70%,95%,['Mediterranean'],['Mediterranean'],3,53
873,Thai Cafe,70%,94%,"['Asian', 'Thai']",['Thai'],18,500+
