,Name,Cuisine Style,Rating Glovo,Number of Reviews
1413,Pizzeria Ilodi,"['Italian', 'Pizza']",--,10
1414,Pizza Nicola,"['Italian', 'Pizza']",66%,15
1415,Pizzería Progreso,['Pizza'],--,63
1416,Bar Sporting,"['Mediterranean', 'Sandwich']",New,10
1417,La Colosal,['Mediterranean'],72%,74
1418,Hussain Hamburguesería Y Pizzería,"['Arabic', 'Pizza']",--,19
1419,Obama English Pub,"['American', 'Burgers']",--,39
1420,Super Spicy XXL Kebab,['Kebab'],New,25
1421,Tapas23,['Mediterranean'],100%,43
1422,Smart Pokes,['Poke'],--,38
1423,Fish & Chips Point - Collblanc,"['Burgers', 'Mediterranean']",--,22
1424,Sushi Club,"['Japanese', 'Sushi']",63%,32
1425,Kebab Shop,"['Arabic', 'Pizza']",60%,21
1426,Poke Club,['Poke'],83%,18
1427,La Clote Veggie,"['Italian', 'Pizza']",97%,500+
1428,Empanadas By La Pizza Del Born,['Mediterranean'],75%,25
1429,Tapes Jardi Gastrobar,['Burgers'],--,14
1430,Les Dues Sicilies Gastro Bar,"['International', 'Italian']",84%,65
1431,Punta & Sabor,['Mediterranean'],93%,76
1432,Cordova Resteurente,"['Indian', 'Thai']",82%,23
1433,El Rincón Jaragua,['Latin American'],98%,29
1434,Radici,"['Italian', 'Pizza']",98%,31
1435,Restaurant Maccabi,['Mediterranean'],--,50
1436,La Bendita,['Mediterranean'],100%,162
1437,Marhaba Doner Kebab,['Arabic'],44%,35
1438,Pink Buda Burger,['Burgers'],95%,47
1439,Immersió,['Mediterranean'],New,27
1440,Donde Siempre BCN,"['International', 'Venezolana']",--,37
1441,Mehman Khana,['Indian'],87%,20
1442,Wok Fusion,['Japanese'],84%,68
1443,Old Bastard Beer & Food,['Burgers'],91%,38
1444,Fishpac,"['Asian', 'Japanese']",99%,182
1445,"Yanda, Arroces Y Paellas","['Local food', 'Mediterranean']",95%,10
1446,La Norteñita,"['International', 'Latin American']",96%,16
1447,Restaurante Sabor Hondureño,['Latin American'],88%,16
1448,La Pizza del Born,['Pizza'],95%,53
1449,Casa Bangla,['Indian'],88%,20
1450,Restaurante Milagros,['Mediterranean'],87%,31
1451,Mayelo Restaurante Peruano,"['Latin American', 'Peruvian']",90%,17
1452,Sr. Baked Potato,['American'],97%,32
1453,Pizza Raval,['Pizza'],88%,15
1454,Bon Pizza,['Pizza'],94%,10
1455,La Modena,['Pizza'],98%,25
1456,Restaurante Bollywood,"['Arabic', 'Indian']",75%,29
1457,Señor Piña,"['Healthy', 'Poke']",90%,26
1458,Gilda by Belgious,['International'],90%,14
1459,Pizzería Il Fuoco,"['Italian', 'Pizza']",--,60
1460,Arepa Munch,"['International', 'Latin American']",81%,27
1461,Supra Barcelona,"['International', 'Pizza']",90%,27
1462,Pizzería Pinsa Romana,['Pizza'],85%,36
1463,Pizzería Barcelona,['Pizza'],90%,14
1464,Vegetal Veg,"['Vegan', 'Vegetarian']",97%,31
1465,Pal Mundo Restaurante,['Latin American'],83%,10
1466,Lajarta,"['Arabic', 'Indian']",71%,15
1467,El Raco Nou,['Mediterranean'],--,17
1468,Tapa Tapa Arenas,['Mediterranean'],80%,126
1469,Pizzería La Vila,"['Italian', 'Pizza']",70%,42
1470,Sushi & Sushi,['Asian'],62%,59
1471,Surf House Barcelona,['Burgers'],91%,10
1472,Burger Point,['Burgers'],90%,10
1473,Quebap & Kebabish,['Arabic'],97%,11
1474,Fast Food Progreso,"['Burgers', 'Chicken']",69%,13
1475,Los Sicilianos,['Pizza'],90%,20
1476,Kebab A La Turca,['Arabic'],89%,134
1477,Curry Box,['Indian'],81%,23
1478,Pizza Davi,['Pizza'],73%,38
1479,Kebab Express,['Arabic'],77%,20
1480,Wok y Poke,"['Asian', 'Japanese']",86%,10
1481,La Casa Kebab Turco,['Arabic'],81%,13
1482,"Quiches, Ensaladas, Brownies","['Mediterranean', 'Sweets']",69%,11
1483,Restaurante La Luna,"['International', 'Pizza']",83%,65
1484,Veggie Pizzeria,"['Italian', 'Pizza']",76%,41
1485,Wok & Sushi,"['Asian', 'Japanese']",78%,37
1486,Sushi Asiática,"['Asian', 'Sushi']",67%,27
1487,The Butlers,"['Burgers', 'Gourmet']",87%,120
1488,Pizzería Vegetariana,['Pizza'],75%,16
1489,Pizza & Pizza,"['Italian', 'Pizza']",67%,10
1490,Set Especies,['Arabic'],92%,19
1491,The Milanesa' King,['Mediterranean'],62%,29
1492,Shawarma Kebab,['Arabic'],69%,25
1493,Taquería El Rey De México,"['International', 'Mexican']",72%,10
1494,Ch Naeem,['Pizza'],68%,26
1495,Bar Los Hermanos,['Mediterranean'],56%,10
1496,Taquería El Charro Mexicano,"['International', 'Mexican']",64%,12
1497,Pizza Diavola,['Pizza'],63%,75
1498,"""Nico's Snacks""",['Mediterranean'],87%,25
1499,Pizzeria Express,['Pizza'],64%,48
1500,Curry Time,['Indian'],71%,21
1501,I Love Sushi,"['Asian', 'Japanese']",65%,28
1502,Usmania Kebab,"['Arabic', 'Mediterranean']",57%,10
1503,Dune Tapería & Resort,"['Mediterranean', 'Paella']",45%,10
1504,Pizzas 2x1,['Pizza'],56%,15
1505,Durum & Kebab,"['Arabic', 'Chicken']",62%,20
1506,Tapas Y Kebab,"['Arabic', 'Mediterranean']",45%,10
1507,Restobar La Cusqueña,['Latin American'],42%,10
1508,Sushi Palace,"['International', 'Japanese']",51%,43
1509,El Rey De La Milanesa,"['International', 'Italian']",47%,10
1510,Pulled Burger,['Burgers'],56%,30
1511,Pasta Sicily,"['Burgers', 'Italian']",44%,19
1512,Sushi Style,"['Japanese', 'Sushi']",54%,49
1513,Green Sushi,"['Asian', 'Japanese']",41%,16
1514,Pulled Burger,"['American', 'Burgers']",28%,16
1515,SUSHI STAR,"['Asian', 'Sushi']",21%,33
